,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
39tLc4Xp58Lu4KcWHggeE2,0.000365,0.559,0.725,0.553,10,-8.631,0.0426,90.012,0.501
6WkSUgo1VdpzgtiXKlFPcY,0.00166,0.407,0.968,0.0,0,-5.154,0.108,109.727,0.374
5G0vAvojJAb8np3INdsISs,0.0943,0.514,0.884,1.52e-06,7,-3.765,0.151,158.262,0.898
2lXHg7BtTNoP39AezyCSfL,0.142,0.527,0.418,0.775,4,-10.204,0.0277,129.516,0.218
48YkpE5enOln5c7jXSTuHL,0.153,0.61,0.758,2.21e-05,3,-9.133,0.085,121.061,0.623
45Ia1U4KtIjAPPU7Wv1Sea,0.00165,0.619,0.67,0.0109,11,-10.319,0.0353,129.267,0.777
37EJtTS7jT5WUyXGZzrwnI,0.156,0.491,0.942,0.0,7,-5.333,0.132,100.446,0.387
50JK22El2PTIzZBU2liLDI,0.00156,0.674,0.659,0.00765,8,-8.049,0.0277,99.768,0.697
5jafMI8FLibnjkYTZ33m0c,0.0718,0.418,0.383,0.0177,4,-11.782,0.0257,87.773,0.352
1Y13csEpu3TK5gQdzGLrd8,0.00114,0.579,0.812,0.00333,1,-6.509,0.0693,152.002,0.278
53eJFr4Mfbw5PXJ01K6cFw,0.00746,0.615,0.702,0.00431,7,-9.686,0.0278,96.99,0.734
6gZVQvQZOFpzIy3HblJ20F,0.00229,0.346,0.765,7.54e-06,8,-8.558,0.0413,106.463,0.644
24tO365YW6lcZr1hN4Ukzj,0.000658,0.292,0.714,0.000109,2,-4.919,0.0316,151.412,0.462
74X1epeRufHckhuX1KFD04,0.921,0.339,0.143,0.000636,0,-10.78,0.0317,101.213,0.0948
2AAO0bpq6Fad0jNSekFs8G,0.00164,0.604,0.611,0.000349,4,-9.484,0.0238,101.428,0.559
5lHgBqh9VwAAzQma55gHRY,0.0519,0.291,0.493,9.15e-06,7,-9.461,0.028,182.032,0.183
3SVAN3BRByDmHOhKyIDxfC,0.0626,0.36,0.505,9.22e-05,7,-9.129,0.026,74.807,0.317
6HJujxcjMmVZhd8z5EpPri,0.668,0.559,0.565,0.000315,3,-8.534,0.0498,108.241,0.344
1Z5LCXu5Ca3sHAy6OdUrBT,2.84e-05,0.137,0.916,0.00403,9,-4.429,0.101,178.065,0.19
4YugO7rO57FSmvj4UkyTXx,0.000174,0.472,0.756,0.213,0,-6.075,0.0582,133.287,0.272
2JdzB67NvIa90K4gEZPLeX,0.00468,0.499,0.873,0.0,6,-3.902,0.0386,142.726,0.864
5kr3j5Clb9rjEposoMyLVt,0.000241,0.37,0.96,0.0116,3,-4.162,0.0378,89.428,0.717
6mfkHv00I6jhHIn7EWHJ2N,0.0944,0.634,0.93,0.000317,2,-2.793,0.056,108.012,0.721
39sICagGOiysHxoIBRyLLi,0.0252,0.427,0.952,0.0,4,-3.383,0.0565,103.523,0.588
1jMaB19DiVR8OihLSuYFOt,1.9e-05,0.274,0.906,0.257,0,-5.587,0.0404,185.959,0.783
0pwObEOHolQZSldJ2q1wpy,0.000174,0.286,0.728,0.837,0,-6.608,0.0616,171.454,0.467
4PtZE0h5oyPhCtPjg3NeYQ,0.0206,0.527,0.838,0.000662,3,-6.013,0.0323,117.454,0.721
4iCGSi1RonREsPtfEKYj5b,6.28e-05,0.287,0.67,0.748,6,-9.381,0.0368,148.928,0.222
6Yv4NG7FPTOWQmsIFnukmX,0.00451,0.552,0.725,0.000158,10,-7.09,0.0319,111.243,0.558
