,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
69XcvSymPaTke2Qb6f3W6P,0.017,0.722,0.593,1.42e-06,1,-3.953,0.0269,98.982,0.326
4H0vNUFcHPz5lytcLjwqkr,0.0445,0.565,0.855,0.0,5,-4.189,0.0557,74.98,0.852
7AclP0W2jy6yrbvBiC4prQ,0.0171,0.61,0.822,1.88e-06,0,-4.422,0.0355,93.993,0.437
1TKlBK9cSrM5u4CiL4SETS,0.0538,0.584,0.672,0.0481,1,-8.309,0.0294,144.0,0.556
4Umsx2T1LJHsCXRQAgmSdH,0.272,0.585,0.753,0.0,6,-5.871,0.0626,171.987,0.892
5rX6C5QVvvZB7XckETNych,0.0212,0.7,0.864,0.0,7,-3.629,0.0283,102.997,0.887
6SkeXwlWEHhjSZPNVSpJae,0.0788,0.588,0.885,0.0,6,-3.046,0.0346,129.933,0.786
1gewemPOUilb21s7CfMS55,0.111,0.692,0.689,0.0,4,-5.988,0.0461,75.983,0.641
0LG2cFomCi8Fb664Lvr3Nu,0.00738,0.547,0.804,0.0,6,-5.268,0.0361,142.016,0.666
33LSgUa20mKNgeut1XwP2E,0.0873,0.542,0.859,0.0,2,-5.137,0.0424,140.9,0.637
6lyKOW0FNW6aAZdKVgoM8m,0.0355,0.652,0.767,6.92e-06,9,-10.445,0.0372,132.017,0.73
10K3cLNxSH5XLs9X951hLR,0.104,0.494,0.599,0.0,2,-6.836,0.0316,163.729,0.457
4LiMQ6G9n84rDUBs9wtwz6,0.0491,0.491,0.907,0.0,7,-3.594,0.0481,199.943,0.631
3yYTDppf1ycYtpPuX46xQh,0.152,0.554,0.702,0.0,9,-4.972,0.0284,163.003,0.467
0bPnT6i9H1p8Vd85GS6Z7I,0.113,0.628,0.757,0.0,7,-3.561,0.0281,96.016,0.727
3T6MAweakkNrMYs8jZIWtg,0.196,0.582,0.568,0.0,1,-6.051,0.0297,76.025,0.64
3vmOEg3JBiNxaz0mHxPSPC,0.0338,0.812,0.407,3.83e-06,9,-8.152,0.0433,103.968,0.584
6KbpvmsV6L8JsON1C3JHAV,0.0546,0.797,0.7,2.91e-06,9,-7.876,0.0283,104.932,0.715
0L1ZDS8joLUUwUeqWZsEg6,0.0875,0.612,0.878,0.0,6,-3.556,0.0452,94.014,0.599
1S1u0ausWGi2msWnuQgTCY,0.111,0.54,0.836,0.0,11,-5.914,0.0627,167.957,0.55
3siucBIyMJ6MvDbymO1kgH,0.104,0.635,0.529,1.94e-06,5,-6.034,0.0282,91.054,0.442
4QoZGQ8woaho94v629kVl1,0.42,0.64,0.822,0.000435,9,-4.954,0.041,141.054,0.395
2HhOV3DcQVDQio1ePbx8ti,0.0519,0.636,0.868,0.0,9,-4.483,0.0277,111.002,0.799
4ZF2WDTBVFihfTkxfme8JE,0.0064,0.571,0.937,0.0,5,-3.467,0.0365,115.013,0.584
5F44F2EaNa5dpHNQaN8ya1,0.588,0.809,0.473,0.00774,2,-10.688,0.029,106.677,0.743
0yDh0haliTZNtaom8Ofhd9,0.378,0.507,0.85,0.0,5,-5.679,0.0472,171.8,0.847
6iy4PoAuZBMvtrlDX4VxC7,0.0717,0.71,0.538,3.97e-06,5,-12.576,0.0344,111.503,0.698
25rV6ArwFMht49oONoqSLQ,0.234,0.496,0.577,2.4e-06,9,-5.305,0.0257,143.014,0.381
2dwoqUYTy6SOy1dFqcTndC,0.294,0.552,0.698,0.000103,8,-4.817,0.0306,90.006,0.6
7jryPIHQTVYtrZqJZiDpE7,0.0937,0.658,0.884,0.0,0,-4.752,0.0507,121.166,0.589
6MyusyuU2WhmXtraQXImIw,0.25,0.424,0.809,0.0,7,-5.035,0.0352,159.629,0.679
3yHTTHbT058Ow0favhZO38,0.023,0.526,0.85,0.0,10,-4.47,0.0313,141.973,0.338
4Cz6h8wzbfcjWSTI9G1dX1,0.23,0.743,0.75,4.04e-06,4,-5.668,0.0241,104.988,0.735
1zAuQNau1L8ItdjYhxeAeq,0.229,0.657,0.714,0.000744,5,-4.986,0.0265,141.969,0.361
7pJG2AWM5KtumRjhAGOXAw,0.376,0.615,0.51,0.0,1,-5.033,0.0282,125.031,0.15
2QgWuCtBpNIpl5trmKCxRf,0.6,0.527,0.509,0.0,7,-10.893,0.0628,138.317,0.497
5AvDr6XaZYxaRN1j6Om3X5,0.217,0.595,0.635,0.0,1,-6.248,0.0303,77.962,0.78
57gS5wJqIH6sbtBIIiioNY,0.0265,0.667,0.886,0.0,4,-5.12,0.0387,146.076,0.948
7iDa6hUg2VgEL1o1HjmfBn,0.047,0.643,0.783,0.0,10,-6.458,0.0856,154.084,0.579
3YfgxICmLEzoM87JX9MR5a,0.246,0.783,0.621,9.19e-06,9,-7.816,0.0283,106.998,0.678
5uaTGZyDMK1iZ9eW1qeBEX,0.492,0.416,0.546,0.0,7,-7.728,0.0297,159.929,0.418
79dlQxvdsCDApoM8XChkpy,0.0629,0.385,0.808,0.0,7,-6.67,0.045,129.22,0.546
55ccxeuwJuxZF8MHsJqOzh,0.126,0.661,0.813,0.0,8,-5.393,0.0277,113.964,0.668
06gD2ZtK3Dzc1BYqWExQJJ,0.133,0.607,0.575,2.52e-06,8,-7.066,0.0252,78.341,0.504
007n10xGvSbc7dKgAORVIq,0.142,0.668,0.65,0.000325,10,-4.351,0.0228,103.954,0.577
