,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
5ig7Zg3ULxQam70XgvYaJp,0.0103,0.728,0.813,0.787,6,-6.515,0.0929,124.99,0.731
0FjkcycxVB1Jd7mcdEDDWp,0.0241,0.551,0.839,0.00391,5,-2.461,0.0578,141.976,0.314
5lxN6lGWw1Is9ccNVSVz9O,0.0697,0.794,0.902,0.506,5,-7.496,0.157,94.987,0.681
1rE2wPUpiBJDN4eMXkGmPs,0.0283,0.854,0.894,0.0634,1,-4.714,0.0597,122.014,0.213
5qcwzdhDQjHjmu12gOLjY0,0.524,0.809,0.656,0.00455,5,-6.67,0.297,88.934,0.786
60al6ZkP5cOsZN96FqzDGH,0.0394,0.558,0.513,0.0778,5,-10.767,0.23,120.709,0.502
2nDu67ACo2uRWpxA8jslBc,0.00355,0.735,0.75,0.152,6,-6.177,0.0546,124.022,0.438
5D1zGVDJTOqwaGSzYw5TtP,0.000646,0.811,0.825,0.517,2,-5.48,0.0654,124.005,0.95
47QwZG9DGA97qTESmGZjQl,0.00273,0.764,0.894,0.00899,8,-3.996,0.0564,126.996,0.679
5F3t5WgLyBX2W7un8IXiLD,0.0574,0.732,0.726,0.00829,0,-8.074,0.261,172.039,0.45
3W2bm5HR9tnS4ENFNJJ4XF,0.00454,0.868,0.66,0.205,10,-6.079,0.057,125.983,0.389
7JcO76y58yBC3W0tUCLLol,0.0362,0.897,0.69,0.0565,8,-5.932,0.0511,124.998,0.13
5d63ekb5zFLC9WSOJOyOyH,0.0412,0.681,0.556,0.797,3,-10.448,0.0346,127.985,0.326
2BvHBUJ464iz3jWKqkq8JO,0.0203,0.916,0.651,0.0799,1,-7.403,0.0481,121.991,0.354
3D489FPPWNxAEil8oKHMto,0.173,0.633,0.427,0.00029,0,-10.364,0.0297,111.971,0.204
6vkFCzPmJ3beYG0zeevdmX,0.0115,0.659,0.752,0.00256,3,-6.239,0.0312,124.016,0.248
1cEDPbmrlhoVK1h6BLwBYS,0.00523,0.497,0.925,0.781,2,-4.489,0.0745,139.961,0.262
2QrXzOqLCVDRZHkToA0tSR,0.0135,0.421,0.653,0.0,9,-4.85,0.398,78.6,0.733
6ho0GyrWZN3mhi9zVRW7xi,0.00182,0.76,0.964,0.7,2,-5.844,0.0576,125.0,0.641
3hE2oRxFPuEsn7GMQaU1Te,0.509,0.61,0.608,0.0,2,-7.302,0.135,73.554,0.486
4qetR2UUyBeUrJ9DbYrpVQ,0.024,0.86,0.824,0.657,8,-7.207,0.0518,124.016,0.87
